Date,T,H,V,RA,SN,TS,FG,PM25,PM10,So2,No2,Co,O3,AQI,AQI Quality
1/01/15,-3.2,25,9.1,0,0,0,0,41,66,23,49,1.09,29,61,Good
2/01/15,-1.5,30,8,0,0,0,0,48,78,30,58,1.28,23,69,Good
3/01/15,-3.1,45,5.4,0,0,0,0,148,193,66,100,3.24,8,194,Moderately Polluted
4/01/15,2.2,37,5.6,0,0,0,0,173,224,74,119,3.67,12,217,Heavily Polluted
5/01/15,1.7,22,20,0,0,0,0,106,156,57,70,2.89,30,154,Moderately Polluted
6/01/15,-1.1,23,10.7,0,0,0,0,34,51,22,40,0.8,37,53,Good
7/01/15,-2.6,39,4.3,0,0,0,0,61,89,38,64,1.77,14,85,Good
8/01/15,-2.5,50,7.8,0,0,0,0,124,151,49,91,2.98,7,162,Moderately Polluted
9/01/15,-0.9,32,9.8,0,0,0,0,73,92,32,61,1.57,28,99,Good
10/01/15,4.8,22,15,0,0,0,0,146,174,54,94,2.8,17,191,Moderately Polluted
11/01/15,0.6,36,6.5,0,0,0,0,37,55,18,46,0.89,33,56,Good
12/01/15,-2.3,55,6.3,0,0,0,0,116,145,42,72,2.18,12,154,Moderately Polluted
13/01/15,-2.6,69,5.6,0,0,0,0,155,183,54,91,2.81,7,203,Heavily Polluted
14/01/15,-3.1,65,5.7,0,1,0,1,213,250,54,100,3.09,4,264,Heavily Polluted
15/01/15,-3.5,81,4.3,0,0,0,1,328,375,34,111,4.73,5,372,Severely Polluted
16/01/15,-1.4,28,25.4,0,0,0,0,111,119,9,41,1.63,42,138,Lightly Polluted
17/01/15,-1.9,38,5.4,0,0,0,0,59,71,29,57,1.2,25,83,Good
18/01/15,0.4,32,18.5,0,0,0,0,68,109,29,51,1.49,35,112,Lightly Polluted
19/01/15,-0.9,40,6.9,0,0,0,0,42,73,25,58,1.28,27,66,Good
20/01/15,-0.8,50,8.3,0,0,0,0,84,107,43,74,1.99,11,112,Lightly Polluted
21/01/15,-0.4,31,10.4,0,0,0,0,19,23,15,32,0.63,43,33,Excellent
22/01/15,-2.6,53,5,0,0,0,0,97,120,39,79,2,13,129,Lightly Polluted
23/01/15,0.3,43,6.7,0,0,0,0,206,232,61,120,3.56,6,257,Heavily Polluted
24/01/15,0.7,63,5.2,0,1,0,0,95,145,32,69,2,17,130,Lightly Polluted
25/01/15,-0.7,78,5.4,0,0,0,1,134,99,15,60,1.74,11,175,Moderately Polluted
26/01/15,-2.2,31,19.3,0,0,0,1,102,106,10,42,1.67,30,136,Lightly Polluted
27/01/15,-4.3,30,10,0,0,0,0,16,28,14,29,0.62,40,33,Excellent
28/01/15,-1.8,34,9.1,0,1,0,0,36,47,21,49,1.04,24,52,Good
29/01/15,-1.3,29,20.9,0,0,0,0,62,77,21,41,1.2,33,89,Good
30/01/15,-3.1,24,11.1,0,0,0,0,11,21,12,25,0.53,48,27,Excellent
31/01/15,-3.1,25,7.8,0,0,0,0,29,42,19,42,0.84,32,43,Excellent
1/02/15,-3,32,5.9,0,0,0,0,76,98,40,67,1.9,13,103,Lightly Polluted
2/02/15,-0.8,47,5.9,0,1,0,0,139,155,56,86,2.46,11,183,Moderately Polluted
3/02/15,2.3,33,22.6,0,0,0,0,117,78,28,61,1.91,34,155,Moderately Polluted
4/02/15,1.3,27,20.2,0,0,0,0,10,32,9,19,0.38,61,36,Excellent
5/02/15,2.4,30,13.1,0,0,0,0,27,35,16,42,0.71,47,45,Excellent
6/02/15,3.6,29,10.4,0,0,0,0,65,78,29,72,1.78,24,88,Good
7/02/15,-2.1,20,19.3,0,0,0,0,13,26,10,22,0.43,65,37,Excellent
8/02/15,-4.3,23,6.9,0,0,0,0,23,31,16,29,0.58,50,44,Excellent
9/02/15,-1.6,28,8.3,0,0,0,0,108,126,47,78,1.9,17,143,Lightly Polluted
10/02/15,3.4,25,7.2,0,0,0,0,122,138,47,93,2.39,24,162,Moderately Polluted
11/02/15,2.8,27,9.1,0,0,0,0,41,56,22,43,1.01,52,62,Good
12/02/15,0.6,40,6.1,0,0,0,0,31,41,16,43,0.77,53,50,Excellent
13/02/15,0.7,46,5.9,0,0,0,0,120,131,33,83,2.14,24,157,Moderately Polluted
14/02/15,2.8,45,4.3,0,0,0,0,236,238,55,109,3.16,30,287,Heavily Polluted
15/02/15,2.7,46,7,0,0,0,0,284,307,78,113,4.41,16,335,Severely Polluted
16/02/15,6.1,28,19.1,0,0,0,0,121,155,30,54,2.27,36,164,Moderately Polluted
17/02/15,4.5,30,10.2,0,0,0,0,21,41,9,28,0.53,54,42,Excellent
18/02/15,4.2,30,9.8,0,0,0,0,45,56,18,30,0.74,58,67,Good
19/02/15,1.8,64,8.5,1,1,0,1,217,248,54,41,1.49,39,265,Heavily Polluted
20/02/15,0.2,98,5.2,0,1,0,1,138,20,8,40,1.51,23,181,Moderately Polluted
21/02/15,-0.2,39,25.6,0,0,0,1,152,172,8,31,1.63,31,279,Heavily Polluted
22/02/15,-0.8,28,22,0,0,0,0,41,276,4,14,0.39,57,198,Moderately Polluted
23/02/15,0.3,39,8.3,0,0,0,0,55,113,20,33,0.79,41,94,Good
24/02/15,2.1,66,7.6,0,0,0,0,153,213,33,58,2.12,28,198,Moderately Polluted
25/02/15,1.4,20,17.4,0,0,0,0,74,105,9,32,1.04,47,104,Lightly Polluted
26/02/15,1.4,20,14.8,0,0,0,0,12,22,6,18,0.39,61,31,Excellent
27/02/15,-0.3,49,10.2,0,1,0,0,23,37,13,29,0.67,44,40,Excellent
28/02/15,-1.3,86,6.7,0,1,0,0,123,126,7,40,1.28,21,162,Moderately Polluted
1/03/15,5.1,28,12.8,0,0,0,0,44,90,11,39,0.89,45,73,Good
2/03/15,7.7,18,23.3,0,0,0,0,53,82,17,44,1.36,43,86,Good
3/03/15,0.4,13,26.3,0,0,0,0,7,48,2,10,0.28,70,49,Excellent
4/03/15,0.7,18,7.8,0,0,0,0,24,41,12,30,0.64,49,42,Excellent
5/03/15,2.2,29,9.4,0,0,0,0,110,129,46,59,1.56,34,144,Lightly Polluted
6/03/15,2.7,46,6.3,0,0,0,0,195,217,59,82,2.15,28,246,Heavily Polluted
7/03/15,5.8,54,7.2,0,0,0,0,231,245,40,82,2.36,42,282,Heavily Polluted
8/03/15,5.6,19,21.7,0,0,0,0,128,148,21,52,1.43,44,170,Moderately Polluted
9/03/15,-0.8,13,13.9,0,0,0,0,7,27,2,14,0.31,71,40,Excellent
10/03/15,1.9,20,9.8,0,0,0,0,29,45,12,38,0.75,50,48,Excellent
11/03/15,4.5,19,11.3,0,0,0,0,36,51,13,46,0.95,44,56,Good
12/03/15,5.3,30,6.9,0,0,0,0,61,78,20,59,1.17,46,83,Good
13/03/15,6.1,24,9.1,0,0,0,0,63,81,20,59,1.3,39,89,Good
14/03/15,4.4,47,6.7,0,0,0,0,96,119,39,83,1.87,16,129,Lightly Polluted
15/03/15,11.2,22,10.4,0,0,0,0,102,198,26,72,1.71,44,147,Lightly Polluted
16/03/15,8.6,72,7,0,0,0,0,207,294,32,85,2.02,18,255,Heavily Polluted
17/03/15,10.7,36,10.6,0,0,0,1,182,222,15,57,1.7,52,226,Heavily Polluted
18/03/15,7.7,33,8.5,0,0,0,0,46,87,12,49,0.77,51,71,Good
19/03/15,12.4,22,9.6,0,0,0,0,80,203,10,69,1.09,39,134,Lightly Polluted
20/03/15,15.3,11,18,0,0,0,0,43,198,5,45,0.55,56,125,Lightly Polluted
21/03/15,14.6,8,20.9,0,0,0,0,18,103,3,27,0.35,66,77,Good
22/03/15,7.6,21,11.5,0,0,0,0,19,104,3,20,0.34,70,77,Good
23/03/15,11.4,17,12.6,0,0,0,0,34,84,6,43,0.69,46,66,Good
24/03/15,9.4,33,8,0,0,0,0,76,122,28,67,1.82,45,106,Lightly Polluted
25/03/15,12,41,9.1,0,0,0,0,122,158,40,78,1.83,52,162,Moderately Polluted
26/03/15,14.8,34,11.9,0,0,0,0,105,153,21,56,1.04,77,140,Lightly Polluted
27/03/15,15.3,41,10.6,0,0,0,0,105,146,30,54,1.01,80,139,Lightly Polluted
28/03/15,16,33,15.7,0,0,0,0,63,276,8,33,0.53,68,188,Moderately Polluted
29/03/15,17.1,40,11.9,0,0,0,0,74,282,17,66,1.05,51,202,Heavily Polluted
30/03/15,17.9,53,10.4,1,0,0,0,148,337,29,62,1.4,73,220,Heavily Polluted
31/03/15,9.2,83,7.8,1,0,0,0,151,191,21,53,2.33,47,199,Moderately Polluted
1/04/15,9.7,49,9.1,1,0,0,0,58,78,4,48,0.72,36,81,Good
2/04/15,9.6,68,11.1,1,0,0,0,35,18,3,25,0.7,65,55,Good
3/04/15,12.2,49,13,0,0,0,0,28,40,3,26,0.57,88,50,Excellent
4/04/15,13.1,53,8.7,0,0,0,0,62,74,4,36,0.64,90,85,Good
5/04/15,11.2,23,26.1,0,0,0,0,53,98,2,29,0.46,66,91,Good
6/04/15,8.7,21,13,0,0,0,0,20,32,2,13,0.29,70,40,Excellent
7/04/15,8.9,25,12.8,0,0,0,0,22,39,3,22,0.35,68,43,Excellent
8/04/15,9,53,10.6,0,0,0,0,97,123,12,48,0.85,51,129,Lightly Polluted
9/04/15,12.1,57,9.6,0,0,0,0,161,189,16,58,1.19,57,210,Heavily Polluted
10/04/15,15.3,51,9.3,1,0,0,0,150,185,8,61,1.07,60,191,Moderately Polluted
11/04/15,12.9,60,16.3,1,0,1,0,141,76,16,46,1.75,73,182,Moderately Polluted
12/04/15,7.1,47,27.2,1,0,0,0,11,26,2,12,0.26,76,40,Excellent
13/04/15,11.9,47,11.1,0,0,0,0,26,38,2,22,0.37,96,53,Good
14/04/15,17.3,35,9.1,0,0,0,0,54,83,5,54,0.71,66,75,Good
15/04/15,18.1,26,26.7,0,0,0,0,108,285,14,70,0.94,54,215,Heavily Polluted
16/04/15,15.9,19,20.9,0,0,0,0,25,132,3,13,0.24,86,105,Lightly Polluted
17/04/15,18.5,35,8.9,0,0,0,0,67,173,16,54,0.67,54,113,Lightly Polluted
18/04/15,17.9,57,6.7,1,0,0,0,137,272,26,88,1.5,48,181,Moderately Polluted
19/04/15,15.1,35,12.2,0,0,0,0,59,132,5,29,0.61,76,94,Good
20/04/15,17.1,34,13.7,0,0,0,0,66,112,6,43,0.78,62,93,Good
21/04/15,17.9,32,11.1,0,0,0,0,62,129,8,43,0.64,68,100,Good
22/04/15,19.8,32,13.7,0,0,0,0,43,100,8,48,0.61,70,76,Good
23/04/15,18.5,30,10.2,0,0,0,0,54,107,10,49,0.62,60,84,Good
24/04/15,19.1,32,12,0,0,0,0,51,155,7,47,0.63,75,103,Lightly Polluted
25/04/15,24.6,31,13.7,0,0,0,0,71,158,12,64,0.84,95,108,Lightly Polluted
26/04/15,24.9,44,13.3,0,0,0,0,98,181,19,52,0.97,122,144,Lightly Polluted
27/04/15,20.8,63,10,1,0,1,0,81,133,12,45,0.9,103,116,Lightly Polluted
28/04/15,20,61,8,0,0,0,0,43,68,5,38,0.71,85,63,Good
29/04/15,21.8,62,8.7,0,0,0,0,114,135,10,48,1.32,100,151,Moderately Polluted
30/04/15,23.3,55,11.5,0,0,0,0,114,146,11,43,1.07,123,159,Moderately Polluted
1/05/15,16.9,77,13.1,1,0,0,0,125,140,12,45,1.06,67,162,Moderately Polluted
2/05/15,19.6,60,10.6,0,0,0,0,45,68,2,29,0.56,75,67,Good
3/05/15,18.8,15,24.1,0,0,0,0,41,95,2,24,0.42,75,86,Good
4/05/15,19,26,16.1,0,0,0,0,22,64,4,20,0.3,90,56,Good
5/05/15,20.4,20,11.3,0,0,0,0,43,93,7,36,0.48,74,75,Good
6/05/15,17.1,22,10.9,0,0,0,0,19,70,3,23,0.31,79,59,Good
7/05/15,19.3,31,11.5,1,0,0,0,41,128,6,36,0.55,75,90,Good
8/05/15,18.3,48,12.2,0,0,0,0,52,115,11,36,1.01,86,88,Good
9/05/15,12.7,63,5.9,1,0,0,0,39,51,6,32,1.03,44,57,Good
10/05/15,9.7,87,9.4,1,0,0,0,34,34,4,45,1.31,26,50,Excellent
11/05/15,15.4,47,17,1,0,0,0,24,19,2,30,0.82,45,42,Excellent
12/05/15,18.1,51,9.6,0,0,0,0,19,44,2,40,0.5,73,47,Excellent
13/05/15,23.5,35,17.2,0,0,0,0,56,133,3,65,0.77,70,95,Good
14/05/15,22.1,29,10.9,0,0,0,0,19,61,4,29,0.35,82,57,Good
15/05/15,19.8,38,10,1,0,0,0,22,47,2,25,0.38,88,47,Excellent
16/05/15,23.9,35,13.7,0,0,0,0,46,95,8,42,0.67,102,78,Good
17/05/15,22.4,71,10,1,0,0,0,126,182,15,42,1.15,111,167,Moderately Polluted
18/05/15,22.8,15,21.3,0,0,0,0,55,92,3,32,0.55,70,96,Good
19/05/15,21.4,24,23.3,0,0,0,0,11,49,2,16,0.27,81,51,Good
20/05/15,23.7,28,13.9,0,0,0,0,15,37,2,22,0.31,85,46,Excellent
21/05/15,22.6,37,14.1,0,0,0,0,33,83,5,42,0.51,89,71,Good
22/05/15,23.2,43,7.8,0,0,0,0,52,89,11,41,0.76,144,103,Lightly Polluted
23/05/15,25.2,47,9.1,0,0,0,0,94,139,15,53,0.99,136,142,Lightly Polluted
24/05/15,26.8,42,10.4,0,0,0,0,114,164,16,56,1.21,134,170,Moderately Polluted
25/05/15,27.9,41,12.8,0,0,0,0,101,165,23,46,1.15,168,155,Moderately Polluted
26/05/15,27.9,42,15.4,0,0,0,0,87,148,18,38,0.91,158,143,Lightly Polluted
27/05/15,26.3,50,12,0,0,0,0,91,141,11,33,0.86,150,135,Lightly Polluted
28/05/15,25.8,54,11.1,1,0,0,0,116,151,23,36,1.16,145,157,Moderately Polluted
29/05/15,23.7,61,10,1,0,0,0,61,93,5,42,0.8,92,95,Good
30/05/15,24.6,48,11.1,0,0,0,0,54,90,6,39,0.75,101,94,Good
31/05/15,28.9,43,13.1,0,0,0,0,54,101,14,43,0.88,115,102,Lightly Polluted
1/06/15,27.3,55,8.3,1,0,0,0,87,166,14,46,1,138,128,Lightly Polluted
2/06/15,26.4,23,11.9,0,0,0,0,29,62,4,25,0.54,77,63,Good
3/06/15,27.5,24,10.4,1,0,0,0,32,100,6,35,0.52,85,79,Good
4/06/15,18.7,83,7.6,1,0,0,1,50,89,6,54,3.42,49,81,Good
5/06/15,24.6,52,10.9,1,0,1,0,48,51,5,45,6.82,41,71,Good
6/06/15,22.6,54,11.5,1,0,1,0,25,61,3,31,5.01,89,68,Good
7/06/15,22.8,38,10.2,1,0,0,0,13,32,3,29,2.59,53,42,Excellent
8/06/15,25.3,38,10.7,1,0,0,0,18,34,3,35,0.45,61,42,Excellent
9/06/15,24.5,55,11.5,1,0,1,0,48,86,14,49,1.07,98,82,Good
10/06/15,20.4,83,7.4,1,0,1,0,72,71,4,33,1.11,75,100,Good
11/06/15,24.3,41,18.7,0,0,0,0,20,25,2,21,0.56,65,42,Excellent
12/06/15,24.7,44,24.4,1,0,0,0,7,22,3,21,0.41,70,36,Excellent
13/06/15,22.6,67,10,1,0,1,0,11,26,3,18,0.44,88,46,Excellent
14/06/15,26.4,51,7.8,0,0,0,0,19,36,3,28,0.5,95,56,Good
15/06/15,26.8,53,9.3,0,0,0,0,84,120,15,39,1.24,144,130,Lightly Polluted
16/06/15,26.2,57,9.6,1,0,0,0,104,143,11,50,1.16,133,160,Moderately Polluted
17/06/15,25.6,60,7.8,1,0,1,0,41,65,2,34,0.75,111,79,Good
18/06/15,27.5,28,14.6,1,0,0,0,19,32,2,27,0.48,64,45,Excellent
19/06/15,19.6,78,7.6,1,0,1,0,14,33,2,24,0.5,50,35,Excellent
20/06/15,26.2,50,7.4,0,0,0,0,22,39,2,37,0.62,59,52,Good
21/06/15,26.7,48,8.9,0,0,0,0,41,73,4,39,0.62,127,94,Good
22/06/15,26.7,56,9.6,1,0,0,0,89,117,16,38,1.09,144,136,Lightly Polluted
23/06/15,27.6,58,10.6,0,0,0,0,181,178,15,39,1.66,151,234,Heavily Polluted
24/06/15,24.2,72,7.6,1,0,0,0,121,123,9,43,1.12,75,160,Moderately Polluted
25/06/15,24.4,74,6.7,1,0,1,0,124,111,6,50,1.05,70,164,Moderately Polluted
26/06/15,24.2,80,7.4,1,0,1,0,105,22,2,23,0.89,133,145,Lightly Polluted
27/06/15,25.9,74,5.2,0,0,0,0,88,51,4,32,0.83,101,124,Lightly Polluted
28/06/15,27.1,73,9.1,0,0,0,0,147,57,7,34,1.22,123,192,Moderately Polluted
29/06/15,21.1,84,10,1,0,0,0,118,39,5,41,1.09,52,154,Moderately Polluted
30/06/15,21.3,67,11.5,1,0,0,0,14,20,2,26,0.38,58,33,Excellent
1/07/15,24.6,50,10.9,1,0,0,0,18,39,2,34,0.43,46,41,Excellent
2/07/15,26.3,38,10,0,0,0,0,8,20,4,29,0.33,47,29,Excellent
3/07/15,25.6,42,9.3,1,0,0,0,23,59,9,33,0.89,96,72,Good
4/07/15,21.9,62,6.3,1,0,0,0,32,59,5,44,0.72,58,61,Good
5/07/15,24.9,56,8.9,0,0,0,0,62,71,9,36,0.99,115,106,Lightly Polluted
6/07/15,26.4,53,8.3,0,0,0,0,68,75,10,33,1.1,130,119,Lightly Polluted
7/07/15,27.2,54,9.8,0,0,0,0,67,85,7,32,0.88,131,115,Lightly Polluted
8/07/15,27.8,57,9.1,0,0,0,0,126,132,7,34,1.15,129,173,Moderately Polluted
9/07/15,28.1,49,9.6,0,0,0,0,72,92,10,36,0.83,128,127,Lightly Polluted
10/07/15,28.1,57,9.1,0,0,0,0,49,82,8,32,0.68,120,96,Good
11/07/15,29.2,58,7.4,0,0,0,0,102,125,9,34,1.05,140,148,Lightly Polluted
12/07/15,29.9,55,7.4,1,0,1,0,107,158,5,46,0.92,146,170,Moderately Polluted
13/07/15,32.8,37,11.5,1,0,1,0,49,83,2,43,0.62,150,112,Lightly Polluted
14/07/15,30.4,41,11.9,1,0,0,0,35,65,4,30,0.6,149,103,Lightly Polluted
15/07/15,26.9,59,13,1,0,1,0,34,61,3,46,0.62,87,62,Good
16/07/15,23.7,76,12.8,1,0,1,0,36,47,2,29,0.67,80,54,Good
17/07/15,23.7,80,8.9,1,0,1,0,33,41,2,30,0.74,58,48,Excellent
18/07/15,23.6,85,7,1,0,1,1,48,31,2,25,0.78,94,72,Good
19/07/15,23.6,90,6.9,1,0,1,0,64,33,2,31,0.87,71,87,Good
20/07/15,25.6,82,7.6,1,0,0,0,83,48,2,31,0.88,66,111,Lightly Polluted
