Month,Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,Date,AQI Quality,AQI,AQI Ranking,PM25,PM10,So2,No2,Co,O3
Jan-15,1,-3.2,2.5,-10,-,25,0,6.4,9.1,18,-,,,,,1/01/15,Good,61,84,41,66,23,49,1.09,29
Jan-15,2,-1.5,5,-8,-,30,0,6,8,14.4,-,,,,,2/01/15,Good,69,172,48,78,30,58,1.28,23
Jan-15,3,-3.1,3.6,-8,-,45,0,5,5.4,14.4,-,,,,,3/01/15,Moderately Polluted,194,322,148,193,66,100,3.24,8
Jan-15,4,2.2,8.6,-7,-,37,0,4.3,5.6,10.7,-,,,,,4/01/15,Heavily Polluted,217,286,173,224,74,119,3.67,12
Jan-15,5,1.7,11,-6,-,22,0,4.2,20,39.6,50.4,,,,,5/01/15,Moderately Polluted,154,216,106,156,57,70,2.89,30
Jan-15,6,-1.1,6,-8,-,23,0,9.5,10.7,25.2,28.7,,,,,6/01/15,Good,53,90,34,51,22,40,0.8,37
Jan-15,7,-2.6,3.3,-11,-,39,0,6.1,4.3,10.7,-,,,,,7/01/15,Good,85,215,61,89,38,64,1.77,14
Jan-15,8,-2.5,5,-8,-,50,0,6.3,7.8,18,-,,,,,8/01/15,Moderately Polluted,162,315,124,151,49,91,2.98,7
Jan-15,9,-0.9,7.5,-10,-,32,0,8,9.8,32.4,43.2,,,,,9/01/15,Good,99,170,73,92,32,61,1.57,28
Jan-15,10,4.8,13,-8,-,22,0,6.1,15,35.9,53.9,,,,,10/01/15,Moderately Polluted,191,294,146,174,54,94,2.8,17
Jan-15,11,0.6,6.5,-7,-,36,0,7.6,6.5,10.7,-,,,,,11/01/15,Good,56,66,37,55,18,46,0.89,33
Jan-15,12,-2.3,4.2,-7,-,55,0,5.5,6.3,14.4,-,,,,,12/01/15,Moderately Polluted,154,313,116,145,42,72,2.18,12
Jan-15,13,-2.6,3.1,-7,-,69,0,4,5.6,10.7,-,,,,,13/01/15,Heavily Polluted,203,348,155,183,54,91,2.81,7
Jan-15,14,-3.1,1,-8,-,65,0,3.7,5.7,14.4,-,,o,,o,14/01/15,Severely Polluted,264,359,213,250,54,100,3.09,4
Jan-15,15,-3.5,0,-7,-,81,0,1.3,4.3,25.2,-,,,,o,15/01/15,Severely Polluted,372,366,328,375,34,111,4.73,5
Jan-15,16,-1.4,4,-7,-,28,0,-,25.4,50.4,68.3,,,,,16/01/15,Lightly Polluted,138,240,111,119,9,41,1.63,42
Jan-15,17,-1.9,3,-6.8,-,38,0,7.2,5.4,14.4,25.2,,,,,17/01/15,Good,83,131,59,71,29,57,1.2,25
Jan-15,18,0.4,7,-10,-,32,0,4.3,18.5,46.9,68.3,,,,,18/01/15,Lightly Polluted,112,207,68,109,29,51,1.49,35
Jan-15,19,-0.9,6.7,-9,-,40,0,8,6.9,14.4,-,,,,,19/01/15,Good,66,75,42,73,25,58,1.28,27
Jan-15,20,-0.8,5,-7,-,50,0,6.9,8.3,18,-,,,,,20/01/15,Lightly Polluted,112,244,84,107,43,74,1.99,11
Jan-15,21,-0.4,7,-11,-,31,0,-,10.4,21.7,-,,,,,21/01/15,Excellent,33,5,19,23,15,32,0.63,43
Jan-15,22,-2.6,5.8,-9,-,53,0,3.7,5,10.7,-,,,,,22/01/15,Lightly Polluted,129,254,97,120,39,79,2,13
